Sourced from:,http://maternalheart.org/propers-saints.html,,,https://bbloomf.github.io/jgabc/propers.html,,,,
Date,Feast,Introitus,Graduale,Tractus,Alleluia,Alleluia PT,Offertorium,Communio
Jan 5,St Telesphorus,puer natus est,viderunt omnes,,multifarie olim,,tui sunt caeli,viderunt omnes
Jan 11,St Hyginus,si diligis me,exaltent eum,,tu es petrus,,ecce dedi,tu es petrus
Jan 13,Baptism of Our Lord Jesus Christ,ecce advenit,omnes de saba,,vidimus stellam,,reges tharsis,vidimus stellam
Jan 14,St Hilary,in medio,os justi,,amavit eum,,justus ut palma,fidelis servus
Jan 15,St Paul the First Hermit,justus ut palma,justus ut palma,,justus germinabit,,in virtute tua,laetabitur justus
Jan 16,St Marcellus I,si diligis me,exaltent eum,,tu es petrus,,ecce dedi,tu es petrus
Jan 17,St Anthony,os justi,domine praevenisti,,justus ut palma,,desiderium animae,fidelis servus
Jan 18,Chair of St Peter in Rome,statuit,exaltent eum,tu es petrus,tu es petrus,,tu es petrus,tu es petrus
Jan 20,St Fabian and St Sebastian,intret in conspectu,gloriosus deus,qui seminant,sancti tui... benedicent,,laetamini,multitudo languentium
Jan 21,St Agnes,me exspectaverunt,diffusa est,veni sponsa,quinque prudentes,,afferentur... proximae,quinque prudentes
Jan 22,Ss Vincent and Anastasius,intret in conspectu,gloriosus deus,qui seminant,corpora sanctorum,,mirabilis deus,et si coram
Jan 23,St Raymond of Penafort,os justi,justus ut palma,beatus vir qui timet,beatus vir qui suffert,,veritas mea,beatus servus
Jan 24,St Timothy,statuit,inveni david,desiderium,tu es sacerdos,,veritas mea,semel juravi
Jan 25,Conversion of St Paul,scio cui credidi,qui operatus est,tu es vas,magnus sanctus paulus,,mihi autem nimis,amen dico vobis quod vos
Jan 26,St Polycarp,sacerdotes dei,ecce sacerdos,beatus vir qui timet,hic est sacerdos,,inveni david,posuisti domine
Jan 27,St John Chrysostom,in medio,,beatus vir qui timet,beatus vir qui suffert,,justus ut palma,fidelis servus
Jan 28,St Peter Nolasco,justus ut palma,os justi,beatus vir qui timet,beatus vir qui timet,,in virtute tua,amen dico vobis quod vos
Jan 29,St Francis de Sales,in medio,os justi,beatus vir qui timet,amavit eum,,justus ut palma,fidelis servus
Jan 30,St Martina,loquebar ps. beati immaculati,dilexisti,veni sponsa,adducentur,,afferentur... proximae,confundantur
Jan 31,St John Bosco,dedit illi,spera,factus es,pauper,,venite filii,contra spem
Feb 1,St Ignatius,mihi autem absit ps. memento,ecce sacerdos,desiderium,christo confixus,,gloria et honore,frumentum
Feb 2,,,,,,,,
Feb 3,,,,,,,,
Feb 4,,,,,,,,
Feb 5,,,,,,,,
Feb 6,,,,,,,,
Feb 7,,,,,,,,
Feb 8,St John of Matha,os justi,justus ut palma,beatus vir qui timet,beatus vir qui suffert,,veritas mea,beatus servus
Feb 9,,,,,,,,
Feb 10,,,,,,,,
Feb 11,,,,,,,,
Feb 12,,,,,,,,
Feb 13,,,,,,,,
Feb 14,,,,,,,,
Feb 15,Ss Faustinus and Jovita,salus autem,clamaverunt,,te martyrum,,justorum animae,quod dico vobis
Feb 16,,,,,,,,
Feb 17,,,,,,,,
Feb 18,,,,,,,,
Feb 19,,,,,,,,
Feb 20,,,,,,,,
Feb 21,,,,,,,,
Feb 22,Chair of St Peter,statuit,exaltent eum,tu es petrus,tu es petrus,,tu es petrus,tu es petrus
Feb 23,,,,,,,,
Feb 24,,,,,,,,
Feb 25,,,,,,,,
Feb 26,,,,,,,,
Feb 27,,,,,,,,
Feb 28,,,,,,,,
Mar 1,,,,,,,,
Mar 2,,,,,,,,
Mar 3,,,,,,,,
Mar 4,,,,,,,,
Mar 5,,,,,,,,
Mar 6,,,,,,,,
Mar 7,St Thomas Aquinas,in medio,os justi,beatus vir qui timet,,,justus ut palma,fidelis servus
Mar 8,,,,,,,,
Mar 9,,,,,,,,
Mar 10,,,,,,,,
Mar 11,,,,,,,,
Mar 12,,,,,,,,
Mar 13,,,,,,,,
Mar 14,,,,,,,,
Mar 15,,,,,,,,
Mar 16,,,,,,,,
Mar 17,,,,,,,,
Mar 18,,,,,,,,
Mar 19,,,,,,,,
Mar 20,,,,,,,,
Mar 21,St Benedict,os justi,domine praevenisti,beatus vir qui timet,,,desiderium animae,fidelis servus
Mar 22,,,,,,,,
Mar 23,,,,,,,,
Mar 24,,,,,,,,
Mar 25,,,,,,,,
Mar 26,,,,,,,,
Mar 27,,,,,,,,
Mar 28,St John Capistran,ego autem in... gaudebo,qui timetis,fortitudo mea,,,invocavit,decantaverunt
Mar 29,,,,,,,,
Mar 30,,,,,,,,
Mar 31,,,,,,,,
Apr 1,,,,,,,,
Apr 2,,,,,,,,
Apr 3,,,,,,,,
Apr 4,St Isidore,in medio,os justi,beatus vir qui timet,amavit eum,justus germinabit,justus ut palma,fidelis servus
Apr 5,,,,,,,,
Apr 6,,,,,,,,
Apr 7,,,,,,,,
Apr 8,,,,,,,,
Apr 9,,,,,,,,
Apr 10,,,,,,,,
Apr 11,St Leo I,si diligis me,exaltent eum,annuntiavi,tu es petrus,constitues eos,ecce dedi,tu es petrus
Apr 12,,,,,,,,
Apr 13,,,,,,,,
Apr 14,,,,,,,,
Apr 15,,,,,,,,
Apr 16,,,,,,,,
Apr 17,,,,,,,,
Apr 18,,,,,,,,
Apr 19,,,,,,,,
Apr 20,,,,,,,,
Apr 21,,,,,,,,
Apr 22,,,,,,,,
Apr 23,,,,,,,,
Apr 24,,,,,,,,
Apr 25,St Mark,protexisti me,,,confitebuntur,posuisti domine,confitebuntur,laetabitur justus
Apr 26,,,,,,,,
Apr 27,,,,,,,,
